ID,Name,Parameter,Language,Frequency,Confidence,References
5-150-179-1,sete,thirst,Romanian,,,
5-160-179-1,suge,suck,Romanian,,,
5-210-179-1,ga_ti,cook,Romanian,,,
5-210-179-3,coace,cook,Romanian,,,
5-220-179-1,fierbe,boil (vb),Romanian,,,
5-230-179-1,frige,"roast, fry",Romanian,,,
5-230-179-3,pra_ji,"roast, fry",Romanian,,,
5-240-179-1,coace (in cuptor),bake,Romanian,,,
5-250-179-1,cuptor,oven,Romanian,,,
5-260-179-1,oala_,"pot, cooking vessel",Romanian,,,
5-270-179-1,ca_ldare,kettle,Romanian,,,
5-280-179-1,tigaie,pan,Romanian,,,
5-280-179-3,tingire,pan,Romanian,,,
5-280-179-5,cratit___,pan,Romanian,,,
5-310-179-1,farfurie,dish,Romanian,,,
5-320-179-1,farfurie (taler),plate,Romanian,,,
5-330-179-1,strachina_,bowl,Romanian,,,
5-330-179-3,bol,bowl,Romanian,,,
5-340-179-1,urcior,"pitcher, jug",Romanian,,,
5-350-179-1,ceas_c__,"cup, drinking vessel",Romanian,,,
5-350-179-3,cupa_,"cup, drinking vessel",Romanian,,,
5-370-179-1,lingura_,spoon,Romanian,,,
5-380-179-1,cut_it,knife (2),Romanian,,,
5-390-179-1,furculit___,fork (2),Romanian,,,
5-410-179-1,masa_,meal (a),Romanian,,,
5-410-179-3,mi_ncare,meal (a),Romanian,,,
5-420-179-1,pri_n__isor,breakfast,Romanian,,,
5-430-179-1,dejun,lunch,Romanian,,,
5-440-179-1,pri_nz,dinner,Romanian,,,
5-440-179-3,masa_,dinner,Romanian,,,
5-450-179-1,masa_ de sear__,supper,Romanian,,,
5-450-179-3,cina_,supper,Romanian,,,
5-450-179-5,ojina,supper,Romanian,,,
5-510-179-1,pi_ine,bread,Romanian,,,
5-530-179-1,aluat,dough,Romanian,,,
5-540-179-1,fra_mînta-,knead,Romanian,,,
5-550-179-1,fa_in__,"meal, flour",Romanian,,,
5-560-179-1,ma_cina,"crush, grind",Romanian,,,
5-570-179-1,moara_,mill,Romanian,,,
5-570-179-3,ri___ni____,mill,Romanian,,,
5-610-179-1,carne,meat,Romanian,,,
5-630-179-1,ci_rna__,sausage,Romanian,,,
5-640-179-1,supa_,"soup, broth",Romanian,,,
5-640-179-3,ciorba_,"soup, broth",Romanian,,,
5-650-179-1,legume,vegetables,Romanian,,,
5-650-179-3,zarzavat,vegetables,Romanian,,,
5-660-179-1,fasole,bean,Romanian,,,
5-700-179-1,cartof,potato,Romanian,,,
5-710-179-1,poama_,fruit,Romanian,,,
5-710-179-3,fruct,fruit,Romanian,,,
5-750-179-1,smochina_,fig,Romanian,,,
5-760-179-1,strugure,grape,Romanian,,,
5-770-179-1,nuca_,nut,Romanian,,,
5-780-179-1,ma_slin__,olive,Romanian,,,
5-790-179-1,uleiu,oil,Romanian,,,
5-810-179-1,sare,salt,Romanian,,,
5-820-179-1,piper,pepper,Romanian,,,
5-840-179-1,miere,honey,Romanian,,,
5-850-179-1,zaha_r,sugar,Romanian,,,
5-860-179-1,lapte,milk (noun),Romanian,,,
5-870-179-1,mulge,milk (vb),Romanian,,,
5-880-179-1,brinza_,cheese,Romanian,,,
5-890-179-1,unt,butter,Romanian,,,
5-910-179-1,hidromel,mead,Romanian,,,
5-910-179-3,mied,mead,Romanian,,,
5-920-179-1,vin,wine,Romanian,,,
5-930-179-1,bere,beer,Romanian,,,
6-110-179-1,i_mbr__ca,put on (clothes),Romanian,,,
6-120-179-1,i_mbr__c__minte,"clothing, clothes",Romanian,,,
6-120-179-3,hai_ne,"clothing, clothes",Romanian,,,
6-130-179-1,croi_tor,tailor,Romanian,,,
6-210-179-1,stofa_,cloth,Romanian,,,
6-210-179-3,postav,cloth,Romanian,,,
6-210-179-5,pa_nur__,cloth,Romanian,,,
6-220-179-1,li_n__,wool,Romanian,,,
6-230-179-1,pi_nz__,"linen, flax",Romanian,,,
6-230-179-3,in,"linen, flax",Romanian,,,
6-240-179-1,bumbac,cotton,Romanian,,,
6-250-179-1,ma_tase,silk,Romanian,,,
6-270-179-1,pi_sl__,felt,Romanian,,,
6-280-179-1,blana_,fur,Romanian,,,
6-290-179-1,piele,leather,Romanian,,,
6-310-179-1,toarce,spin,Romanian,,,
6-320-179-1,fus,spindle,Romanian,,,
6-330-179-1,t_ese,weave,Romanian,,,
6-340-179-1,ra_zboiu,loom,Romanian,,,
6-350-179-1,coase,sew,Romanian,,,
6-360-179-1,ac,needle,Romanian,,,
6-370-179-1,sula_,awl,Romanian,,,
6-380-179-1,fir,thread,Romanian,,,
6-390-179-1,boi,dye,Romanian,,,
6-390-179-3,va_psi,dye,Romanian,,,
6-410-179-1,manta,cloak,Romanian,,,
6-430-179-1,haina_,coat,Romanian,,,
6-440-179-1,ca_ma____,shirt,Romanian,,,
6-450-179-1,guler,collar,Romanian,,,
6-450-179-3,guleras_,collar,Romanian,,,
6-460-179-1,fusta_,skirt,Romanian,,,
6-480-179-1,pantaloni,trousers,Romanian,,,
6-490-179-1,ciorap,"stocking, sock",Romanian,,,
6-510-179-1,gheata_,shoe,Romanian,,,
6-510-179-3,i_ncal__aminte,shoe,Romanian,,,
6-520-179-1,cizma_,boot,Romanian,,,
6-540-179-1,cizmar,"shoemaker, cobbler",Romanian,,,
6-550-179-1,pa_l__rie,"hat, cap",Romanian,,,
6-550-179-3,s_apc__,"hat, cap",Romanian,,,
6-570-179-1,cinga_toare,"belt, girdle",Romanian,,,
6-570-179-3,curea,"belt, girdle",Romanian,,,
6-570-179-5,colan,"belt, girdle",Romanian,,,
6-580-179-1,ma_nu____,glove,Romanian,,,
6-590-179-1,va_l,veil,Romanian,,,
6-610-179-1,buzunar,pocket,Romanian,,,
6-620-179-1,nasture,button,Romanian,,,
6-630-179-1,ac (cu ga_m__lie),pin,Romanian,,,
6-710-179-1,podoaba_,"ornament, adornment",Romanian,,,
6-720-179-1,giuvaer,jewel,Romanian,,,
6-730-179-1,inel,ring (for finger),Romanian,,,
6-740-179-1,bra___ar__,bracelet,Romanian,,,
6-750-179-1,colier,necklace,Romanian,,,
6-750-179-3,ghiordan,necklace,Romanian,,,
6-810-179-1,batista_,"handkerchief, rag",Romanian,,,
6-810-179-3,basma,"handkerchief, rag",Romanian,,,
6-820-179-1,prosop,towel,Romanian,,,
6-820-179-3,pes_chir,towel,Romanian,,,
6-910-179-1,pieptene,comb,Romanian,,,
6-920-179-1,perie,brush,Romanian,,,
6-930-179-1,briciu,razor,Romanian,,,
6-940-179-1,unsoare,ointment,Romanian,,,
