ID,Name,Parameter,Language,Frequency,Confidence,References
4-858-131-1,heg,scar,Hungarian,,,
4-858-131-3,forradás,scar,Hungarian,,,
4-860-131-1,ápol,"cure, heal",Hungarian,,,
4-860-131-3,kezel,"cure, heal",Hungarian,,,
4-870-131-1,orvos,physician,Hungarian,,,
4-880-131-1,orvosság,"medicine, drug",Hungarian,,,
4-890-131-1,méreg,poison,Hungarian,,,
4-910-131-1,fáradt,"tired, weary",Hungarian,,,
4-910-131-3,kimerült,"tired, weary",Hungarian,,,
4-912-131-1,pihen,rest,Hungarian,,,
4-920-131-1,lusta,lazy,Hungarian,,,
4-930-131-1,kopasz,bald,Hungarian,,,
4-940-131-1,sánta,lame,Hungarian,,,
4-950-131-1,süket,deaf,Hungarian,,,
4-960-131-1,néma,mute,Hungarian,,,
4-970-131-1,vak,blind,Hungarian,,,
4-980-131-1,részeg,intoxicated,Hungarian,,,
4-990-131-1,meztelen,"naked, bare",Hungarian,,,
4-990-131-3,pucér,"naked, bare",Hungarian,,,
5-110-131-1,eszik,eat,Hungarian,,,
5-120-131-1,étel,food,Hungarian,,,
5-121-131-1,f_tt,cooked,Hungarian,,,
5-121-131-3,sült,cooked,Hungarian,,,
5-122-131-1,nyers,raw,Hungarian,,,
5-123-131-1,érett,ripe,Hungarian,,,
5-124-131-1,zöld,"green, unripe",Hungarian,,,
5-124-131-3,nyers,"green, unripe",Hungarian,,,
5-125-131-1,rothadt,rotten,Hungarian,,,
5-130-131-1,iszik,drink,Hungarian,,,
5-140-131-1,éhség,hunger,Hungarian,,,
5-141-131-1,éhség,famine,Hungarian,,,
5-150-131-1,szomy(úság),thirst,Hungarian,,,
5-160-131-1,szív,suck,Hungarian,,,
5-180-131-1,(meg)rág,chew,Hungarian,,,
5-181-131-1,(le)nyel,swallow,Hungarian,,,
5-190-131-1,fuldoklik,choke,Hungarian,,,
5-190-131-3,megfoyt,choke,Hungarian,,,
5-210-131-1,f_z,cook,Hungarian,,,
5-220-131-1,forral,boil (vb),Hungarian,,,
5-230-131-1,süt,"roast, fry",Hungarian,,,
5-240-131-1,süt,bake,Hungarian,,,
5-250-131-1,t_zhely,oven,Hungarian,,,
5-250-131-3,kályha,oven,Hungarian,,,
5-260-131-1,edény,"pot, cooking vessel",Hungarian,,,
5-260-131-3,fazék,"pot, cooking vessel",Hungarian,,,
5-270-131-1,üst,kettle,Hungarian,,,
5-280-131-1,serpeny_,pan,Hungarian,,,
5-310-131-1,edény,dish,Hungarian,,,
5-320-131-1,tányér,plate,Hungarian,,,
5-330-131-1,tál,bowl,Hungarian,,,
5-340-131-1,köczög,"pitcher, jug",Hungarian,,,
5-340-131-3,korsó ~ kanczó,"pitcher, jug",Hungarian,,,
5-350-131-1,czésze,"cup, drinking vessel",Hungarian,,,
